  [claude-haiku-4-5-20251001] Progress: 30/8190 (0.4%) | ETA: 17.5m | Rate: 7.8 calls/s
  [claude-haiku-4-5-20251001] Progress: 960/8190 (11.7%) | ETA: 18.4m | Rate: 6.5 calls/s
  [claude-haiku-4-5-20251001] Progress: 990/8190 (12.1%) | ETA: 18.3m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 1020/8190 (12.5%) | ETA: 18.1m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 1050/8190 (12.8%) | ETA: 18.0m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 1080/8190 (13.2%) | ETA: 17.8m | Rate: 6.7 calls/s
  [claude-haiku-4-5-20251001] Progress: 1110/8190 (13.6%) | ETA: 17.7m | Rate: 6.7 calls/s
  [claude-haiku-4-5-20251001] Progress: 1140/8190 (13.9%) | ETA: 17.5m | Rate: 6.7 calls/s
  [claude-haiku-4-5-20251001] Progress: 1170/8190 (14.3%) | ETA: 17.6m | Rate: 6.7 calls/s
  [claude-haiku-4-5-20251001] Progress: 1200/8190 (14.7%) | ETA: 17.5m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 1230/8190 (15.0%) | ETA: 17.4m | Rate: 6.7 calls/s
  [claude-haiku-4-5-20251001] Progress: 1260/8190 (15.4%) | ETA: 17.5m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 1290/8190 (15.8%) | ETA: 17.4m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 1320/8190 (16.1%) | ETA: 17.4m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 1350/8190 (16.5%) | ETA: 17.2m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 1380/8190 (16.8%) | ETA: 17.1m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 1410/8190 (17.2%) | ETA: 17.1m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 1440/8190 (17.6%) | ETA: 17.0m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 1470/8190 (17.9%) | ETA: 16.9m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 1500/8190 (18.3%) | ETA: 17.0m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 1530/8190 (18.7%) | ETA: 17.0m | Rate: 6.5 calls/s
  [claude-haiku-4-5-20251001] Progress: 1560/8190 (19.0%) | ETA: 16.8m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 1590/8190 (19.4%) | ETA: 16.9m | Rate: 6.5 calls/s
  [claude-haiku-4-5-20251001] Progress: 1620/8190 (19.8%) | ETA: 16.8m | Rate: 6.5 calls/s
  [claude-haiku-4-5-20251001] Progress: 1650/8190 (20.1%) | ETA: 16.9m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 1680/8190 (20.5%) | ETA: 16.9m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 1710/8190 (20.9%) | ETA: 16.7m | Rate: 6.5 calls/s
  [claude-haiku-4-5-20251001] Progress: 1740/8190 (21.2%) | ETA: 16.6m | Rate: 6.5 calls/s
  [claude-haiku-4-5-20251001] Progress: 1770/8190 (21.6%) | ETA: 16.6m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 1800/8190 (22.0%) | ETA: 16.5m | Rate: 6.5 calls/s
  [claude-haiku-4-5-20251001] Progress: 1830/8190 (22.3%) | ETA: 16.4m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 1860/8190 (22.7%) | ETA: 16.3m | Rate: 6.5 calls/s
  [claude-haiku-4-5-20251001] Progress: 1890/8190 (23.1%) | ETA: 16.4m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 1920/8190 (23.4%) | ETA: 16.3m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 1950/8190 (23.8%) | ETA: 16.8m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 1980/8190 (24.2%) | ETA: 16.7m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 2010/8190 (24.5%) | ETA: 16.6m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 2040/8190 (24.9%) | ETA: 16.6m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 2070/8190 (25.3%) | ETA: 16.5m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 2100/8190 (25.6%) | ETA: 16.3m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 2130/8190 (26.0%) | ETA: 16.2m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 2160/8190 (26.4%) | ETA: 16.2m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 2190/8190 (26.7%) | ETA: 16.3m | Rate: 6.1 calls/s
  [claude-haiku-4-5-20251001] Progress: 2220/8190 (27.1%) | ETA: 16.3m | Rate: 6.1 calls/s
  [claude-haiku-4-5-20251001] Progress: 2250/8190 (27.5%) | ETA: 16.2m | Rate: 6.1 calls/s
  [claude-haiku-4-5-20251001] Progress: 2280/8190 (27.8%) | ETA: 16.1m | Rate: 6.1 calls/s
  [claude-haiku-4-5-20251001] Progress: 2310/8190 (28.2%) | ETA: 16.0m | Rate: 6.1 calls/s
  [claude-haiku-4-5-20251001] Progress: 2340/8190 (28.6%) | ETA: 16.1m | Rate: 6.1 calls/s
  [claude-haiku-4-5-20251001] Progress: 2370/8190 (28.9%) | ETA: 15.9m | Rate: 6.1 calls/s
  [claude-haiku-4-5-20251001] Progress: 2400/8190 (29.3%) | ETA: 15.8m | Rate: 6.1 calls/s
  [claude-haiku-4-5-20251001] Progress: 2430/8190 (29.7%) | ETA: 15.7m | Rate: 6.1 calls/s
  [claude-haiku-4-5-20251001] Progress: 2460/8190 (30.0%) | ETA: 15.6m | Rate: 6.1 calls/s
  [claude-haiku-4-5-20251001] Progress: 2490/8190 (30.4%) | ETA: 15.5m | Rate: 6.1 calls/s
  [claude-haiku-4-5-20251001] Progress: 2520/8190 (30.8%) | ETA: 15.5m | Rate: 6.1 calls/s
  [claude-haiku-4-5-20251001] Progress: 2550/8190 (31.1%) | ETA: 15.4m | Rate: 6.1 calls/s
  [claude-haiku-4-5-20251001] Progress: 2580/8190 (31.5%) | ETA: 15.2m | Rate: 6.1 calls/s
  [claude-haiku-4-5-20251001] Progress: 2610/8190 (31.9%) | ETA: 15.1m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 2640/8190 (32.2%) | ETA: 15.0m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 2670/8190 (32.6%) | ETA: 14.9m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 2700/8190 (33.0%) | ETA: 14.8m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 2730/8190 (33.3%) | ETA: 14.7m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 2760/8190 (33.7%) | ETA: 14.6m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 2790/8190 (34.1%) | ETA: 14.4m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 2820/8190 (34.4%) | ETA: 14.3m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 2850/8190 (34.8%) | ETA: 14.2m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 2880/8190 (35.2%) | ETA: 14.1m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 2910/8190 (35.5%) | ETA: 14.0m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 2940/8190 (35.9%) | ETA: 14.0m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 2970/8190 (36.3%) | ETA: 13.9m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3000/8190 (36.6%) | ETA: 13.8m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3030/8190 (37.0%) | ETA: 13.7m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3060/8190 (37.4%) | ETA: 13.6m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3090/8190 (37.7%) | ETA: 13.5m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3120/8190 (38.1%) | ETA: 13.4m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3150/8190 (38.5%) | ETA: 13.2m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3180/8190 (38.8%) | ETA: 13.2m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3210/8190 (39.2%) | ETA: 13.1m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3240/8190 (39.6%) | ETA: 13.0m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 3270/8190 (39.9%) | ETA: 12.9m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 3300/8190 (40.3%) | ETA: 12.9m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3330/8190 (40.7%) | ETA: 12.8m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3360/8190 (41.0%) | ETA: 12.7m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3390/8190 (41.4%) | ETA: 12.6m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3420/8190 (41.8%) | ETA: 12.5m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3450/8190 (42.1%) | ETA: 12.5m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3480/8190 (42.5%) | ETA: 12.4m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3510/8190 (42.9%) | ETA: 12.3m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 3540/8190 (43.2%) | ETA: 12.1m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 3570/8190 (43.6%) | ETA: 12.1m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 3600/8190 (44.0%) | ETA: 12.0m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 3630/8190 (44.3%) | ETA: 11.9m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 3660/8190 (44.7%) | ETA: 11.9m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3690/8190 (45.1%) | ETA: 11.8m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3720/8190 (45.4%) | ETA: 11.7m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 3750/8190 (45.8%) | ETA: 11.6m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 3780/8190 (46.2%) | ETA: 11.6m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 3810/8190 (46.5%) | ETA: 11.6m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3840/8190 (46.9%) | ETA: 11.5m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3870/8190 (47.3%) | ETA: 11.4m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3900/8190 (47.6%) | ETA: 11.3m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3930/8190 (48.0%) | ETA: 11.2m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3960/8190 (48.4%) | ETA: 11.1m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 3990/8190 (48.7%) | ETA: 11.0m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4020/8190 (49.1%) | ETA: 11.0m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4050/8190 (49.5%) | ETA: 10.9m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4080/8190 (49.8%) | ETA: 10.8m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 4110/8190 (50.2%) | ETA: 10.7m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 4140/8190 (50.5%) | ETA: 10.6m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 4170/8190 (50.9%) | ETA: 10.5m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 4200/8190 (51.3%) | ETA: 10.4m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 4230/8190 (51.6%) | ETA: 10.4m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 4260/8190 (52.0%) | ETA: 10.3m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4290/8190 (52.4%) | ETA: 10.3m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4320/8190 (52.7%) | ETA: 10.2m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4350/8190 (53.1%) | ETA: 10.2m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4380/8190 (53.5%) | ETA: 10.1m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4410/8190 (53.8%) | ETA: 10.1m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4440/8190 (54.2%) | ETA: 10.0m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 4470/8190 (54.6%) | ETA: 9.9m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 4500/8190 (54.9%) | ETA: 9.8m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 4530/8190 (55.3%) | ETA: 9.7m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4560/8190 (55.7%) | ETA: 9.7m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4590/8190 (56.0%) | ETA: 9.6m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4620/8190 (56.4%) | ETA: 9.5m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4650/8190 (56.8%) | ETA: 9.4m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4680/8190 (57.1%) | ETA: 9.3m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4710/8190 (57.5%) | ETA: 9.3m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4740/8190 (57.9%) | ETA: 9.2m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4770/8190 (58.2%) | ETA: 9.1m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4800/8190 (58.6%) | ETA: 9.0m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4830/8190 (59.0%) | ETA: 8.9m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4860/8190 (59.3%) | ETA: 8.8m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4890/8190 (59.7%) | ETA: 8.8m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 4920/8190 (60.1%) | ETA: 8.7m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4950/8190 (60.4%) | ETA: 8.6m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 4980/8190 (60.8%) | ETA: 8.5m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 5010/8190 (61.2%) | ETA: 8.4m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 5040/8190 (61.5%) | ETA: 8.3m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 5070/8190 (61.9%) | ETA: 8.3m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 5100/8190 (62.3%) | ETA: 8.2m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 5130/8190 (62.6%) | ETA: 8.1m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 5160/8190 (63.0%) | ETA: 8.0m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 5190/8190 (63.4%) | ETA: 7.9m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 5220/8190 (63.7%) | ETA: 7.8m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 5250/8190 (64.1%) | ETA: 7.7m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5280/8190 (64.5%) | ETA: 7.6m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5310/8190 (64.8%) | ETA: 7.5m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5340/8190 (65.2%) | ETA: 7.5m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5370/8190 (65.6%) | ETA: 7.4m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5400/8190 (65.9%) | ETA: 7.3m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5430/8190 (66.3%) | ETA: 7.2m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5460/8190 (66.7%) | ETA: 7.1m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5490/8190 (67.0%) | ETA: 7.0m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5520/8190 (67.4%) | ETA: 6.9m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5550/8190 (67.8%) | ETA: 6.9m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5580/8190 (68.1%) | ETA: 6.8m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5610/8190 (68.5%) | ETA: 6.7m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5640/8190 (68.9%) | ETA: 6.6m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5670/8190 (69.2%) | ETA: 6.5m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5700/8190 (69.6%) | ETA: 6.5m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5730/8190 (70.0%) | ETA: 6.4m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5760/8190 (70.3%) | ETA: 6.3m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5790/8190 (70.7%) | ETA: 6.2m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5820/8190 (71.1%) | ETA: 6.1m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5850/8190 (71.4%) | ETA: 6.1m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5880/8190 (71.8%) | ETA: 6.0m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5910/8190 (72.2%) | ETA: 5.9m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5940/8190 (72.5%) | ETA: 5.8m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 5970/8190 (72.9%) | ETA: 5.8m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 6000/8190 (73.3%) | ETA: 5.7m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 6030/8190 (73.6%) | ETA: 5.6m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 6060/8190 (74.0%) | ETA: 5.5m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 6090/8190 (74.4%) | ETA: 5.5m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 6120/8190 (74.7%) | ETA: 5.4m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 6150/8190 (75.1%) | ETA: 5.3m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 6180/8190 (75.5%) | ETA: 5.2m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 6210/8190 (75.8%) | ETA: 5.2m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 6240/8190 (76.2%) | ETA: 5.1m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 6270/8190 (76.6%) | ETA: 5.0m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 6300/8190 (76.9%) | ETA: 4.9m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 6330/8190 (77.3%) | ETA: 4.9m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 6360/8190 (77.7%) | ETA: 4.8m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 6390/8190 (78.0%) | ETA: 4.7m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 6420/8190 (78.4%) | ETA: 4.6m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 6450/8190 (78.8%) | ETA: 4.6m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 6480/8190 (79.1%) | ETA: 4.5m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 6510/8190 (79.5%) | ETA: 4.4m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 6540/8190 (79.9%) | ETA: 4.3m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 6570/8190 (80.2%) | ETA: 4.3m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 6600/8190 (80.6%) | ETA: 4.2m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 6630/8190 (81.0%) | ETA: 4.1m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 6660/8190 (81.3%) | ETA: 4.0m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 6690/8190 (81.7%) | ETA: 3.9m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 6720/8190 (82.1%) | ETA: 3.9m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 6750/8190 (82.4%) | ETA: 3.8m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 6780/8190 (82.8%) | ETA: 3.7m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 6810/8190 (83.2%) | ETA: 3.6m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 6840/8190 (83.5%) | ETA: 3.5m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 6870/8190 (83.9%) | ETA: 3.5m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 6900/8190 (84.2%) | ETA: 3.4m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 6930/8190 (84.6%) | ETA: 3.3m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 6960/8190 (85.0%) | ETA: 3.3m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 6990/8190 (85.3%) | ETA: 3.2m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7020/8190 (85.7%) | ETA: 3.1m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7050/8190 (86.1%) | ETA: 3.0m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 7080/8190 (86.4%) | ETA: 2.9m | Rate: 6.3 calls/s
