  [gemini-2.5-pro] Progress: 10/8190 (0.1%) | ETA: 153.0m | Rate: 0.9 calls/s
  [gemini-2.5-pro] Progress: 200/8190 (2.4%) | ETA: 105.5m | Rate: 1.3 calls/s
  [gemini-2.5-pro] Progress: 210/8190 (2.6%) | ETA: 104.5m | Rate: 1.3 calls/s
  [gemini-2.5-pro] Progress: 220/8190 (2.7%) | ETA: 108.9m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 230/8190 (2.8%) | ETA: 108.7m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 240/8190 (2.9%) | ETA: 110.8m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 250/8190 (3.1%) | ETA: 114.9m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 260/8190 (3.2%) | ETA: 116.2m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 270/8190 (3.3%) | ETA: 115.1m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 280/8190 (3.4%) | ETA: 116.0m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 290/8190 (3.5%) | ETA: 118.1m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 300/8190 (3.7%) | ETA: 117.0m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 310/8190 (3.8%) | ETA: 119.9m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 320/8190 (3.9%) | ETA: 123.7m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 330/8190 (4.0%) | ETA: 129.6m | Rate: 1.0 calls/s
  [gemini-2.5-pro] Progress: 340/8190 (4.2%) | ETA: 128.4m | Rate: 1.0 calls/s
  [gemini-2.5-pro] Progress: 350/8190 (4.3%) | ETA: 127.8m | Rate: 1.0 calls/s
  [gemini-2.5-pro] Progress: 360/8190 (4.4%) | ETA: 127.8m | Rate: 1.0 calls/s
  [gemini-2.5-pro] Progress: 370/8190 (4.5%) | ETA: 126.2m | Rate: 1.0 calls/s
  [gemini-2.5-pro] Progress: 380/8190 (4.6%) | ETA: 126.8m | Rate: 1.0 calls/s
  [gemini-2.5-pro] Progress: 390/8190 (4.8%) | ETA: 125.6m | Rate: 1.0 calls/s
  [gemini-2.5-pro] Progress: 400/8190 (4.9%) | ETA: 126.0m | Rate: 1.0 calls/s
  [gemini-2.5-pro] Progress: 410/8190 (5.0%) | ETA: 125.2m | Rate: 1.0 calls/s
  [gemini-2.5-pro] Progress: 420/8190 (5.1%) | ETA: 124.5m | Rate: 1.0 calls/s
  [gemini-2.5-pro] Progress: 430/8190 (5.3%) | ETA: 123.4m | Rate: 1.0 calls/s
  [gemini-2.5-pro] Progress: 440/8190 (5.4%) | ETA: 122.3m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 450/8190 (5.5%) | ETA: 122.5m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 460/8190 (5.6%) | ETA: 122.4m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 470/8190 (5.7%) | ETA: 121.9m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 480/8190 (5.9%) | ETA: 121.4m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 490/8190 (6.0%) | ETA: 120.9m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 500/8190 (6.1%) | ETA: 120.3m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 510/8190 (6.2%) | ETA: 120.1m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 520/8190 (6.3%) | ETA: 119.3m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 530/8190 (6.5%) | ETA: 118.8m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 540/8190 (6.6%) | ETA: 118.1m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 550/8190 (6.7%) | ETA: 117.7m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 560/8190 (6.8%) | ETA: 117.0m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 570/8190 (7.0%) | ETA: 116.3m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 580/8190 (7.1%) | ETA: 115.5m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 590/8190 (7.2%) | ETA: 115.1m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 600/8190 (7.3%) | ETA: 114.6m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 610/8190 (7.4%) | ETA: 114.0m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 620/8190 (7.6%) | ETA: 113.5m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 630/8190 (7.7%) | ETA: 113.1m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 640/8190 (7.8%) | ETA: 112.5m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 650/8190 (7.9%) | ETA: 112.2m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 660/8190 (8.1%) | ETA: 111.9m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 670/8190 (8.2%) | ETA: 111.2m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 680/8190 (8.3%) | ETA: 110.6m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 690/8190 (8.4%) | ETA: 110.0m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 700/8190 (8.5%) | ETA: 109.7m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 710/8190 (8.7%) | ETA: 110.3m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 720/8190 (8.8%) | ETA: 109.7m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 730/8190 (8.9%) | ETA: 109.4m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 740/8190 (9.0%) | ETA: 109.0m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 750/8190 (9.2%) | ETA: 108.5m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 760/8190 (9.3%) | ETA: 108.2m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 770/8190 (9.4%) | ETA: 107.9m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 780/8190 (9.5%) | ETA: 108.0m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 790/8190 (9.6%) | ETA: 107.7m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 800/8190 (9.8%) | ETA: 107.6m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 810/8190 (9.9%) | ETA: 107.2m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 820/8190 (10.0%) | ETA: 106.7m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 830/8190 (10.1%) | ETA: 106.8m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 840/8190 (10.3%) | ETA: 106.4m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 850/8190 (10.4%) | ETA: 106.6m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 860/8190 (10.5%) | ETA: 106.3m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 870/8190 (10.6%) | ETA: 106.2m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 880/8190 (10.7%) | ETA: 106.0m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 890/8190 (10.9%) | ETA: 105.7m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 900/8190 (11.0%) | ETA: 105.3m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 910/8190 (11.1%) | ETA: 104.9m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 920/8190 (11.2%) | ETA: 104.4m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 930/8190 (11.4%) | ETA: 104.7m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 940/8190 (11.5%) | ETA: 104.6m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 950/8190 (11.6%) | ETA: 104.5m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 960/8190 (11.7%) | ETA: 104.1m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 970/8190 (11.8%) | ETA: 103.9m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 980/8190 (12.0%) | ETA: 103.5m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 990/8190 (12.1%) | ETA: 103.4m | Rate: 1.2 calls/s
